省份名,城市名,医院名,医院Url
北京,朝阳,望京医院,https://www.haodf.com/hospital/DE4roiYGYZwmJUc2dcByMhc7g.htm
北京,朝阳,北京第一中西医结合医院,https://www.haodf.com/hospital/DE4raCNSz6OEK7149dVHU9sf.htm
北京,朝阳,北京泰和国医中医诊所,https://www.haodf.com/hospital/DE4r0Fy0C9LuGEkceKmnC28V2YMZWydg7.htm
北京,朝阳,朝阳区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGRgNib0mZ0nj-p35r6Dll.htm
北京,海淀,中国中医科学院西苑医院,https://www.haodf.com/hospital/DE4roiYGYZwWGWNBM4FM2b44i.htm
北京,东城,北京中医医院,https://www.haodf.com/hospital/DE4roiYGYZwXwIaCFVHDuJVht.htm
北京,东城,东直门医院,https://www.haodf.com/hospital/DE4rIxMvCog0z3FejraUXx9.htm
北京,东城,中医科学院针灸医院,https://www.haodf.com/hospital/DE4roiYGYZwXKpqNN8Z2K18e0.htm
北京,东城,北京鼓楼医院,https://www.haodf.com/hospital/DE4rIxMvCogYQqB4finaLPH.htm
北京,东城,北京恒和医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZXCbIQvYeLxa9sDMfNCrT.htm
北京,西城,广安门中医院,https://www.haodf.com/hospital/DE4roiYGYZwXwnIKBtDEBxt8k.htm
北京,西城,北京按摩医院,https://www.haodf.com/hospital/DE4raCNSz6OWTaQTyscBtyq4.htm
北京,西城,护国寺中医院,https://www.haodf.com/hospital/DE4rO-XCoLUXKaR-bc1P6dS2aO.htm
北京,西城,宣武中医院,https://www.haodf.com/hospital/DE4roiYGYZwmJO7o5nM-zfnJT.htm
北京,丰台,北京中医药大学东方医院,https://www.haodf.com/hospital/DE4roiYGYZwWCno-DwIIFQwlR.htm
北京,昌平,昌平中医院,https://www.haodf.com/hospital/DE4rO-XCoLUmKbOakhlkqINLVW.htm
北京,昌平,北京市昌平区中西医结合医院,https://www.haodf.com/hospital/DE4rO-XCoLUmKUXNTaJfDy6Cbc.htm
北京,昌平,天通苑医院,https://www.haodf.com/hospital/DE4roiYGYZw0JnbML76GGU71e.htm
北京,平谷,北京中医医院平谷医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZlTLgRVXZoU0pMy6P-9em.htm
北京,石景山,石景山区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0J11nkCENk8YSpIkSXQi.htm
北京,大兴,中国中医科学院广安门医院南区,https://www.haodf.com/hospital/DE4roiYGYZwYCpqNN8Z2K18e0.htm
北京,通州,东直门医院东区,https://www.haodf.com/hospital/DE4rO-XCoLUmJqpqaOQhHsdycT.htm
北京,通州,通州区中西医结合医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuG0hERFjvfEnj-p35r6Dll.htm
北京,顺义,北京市顺义区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZXio0K1cUsfJKXY-1sBh8.htm
北京,房山,北京中医药大学房山医院,https://www.haodf.com/hospital/DE4rO-XCoLUXxnlJ1t4xLBGs4w.htm
北京,怀柔,怀柔中医院,https://www.haodf.com/hospital/DE4rO-XCoLUmi2ooRinOCoXXJe.htm
北京,延庆,北京中医医院延庆医院,https://www.haodf.com/hospital/DE4rO-XCoLUXj77PTaJfDy6Cbc.htm
北京,门头沟,门头沟区中医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0J2o0Gs1rFhFZqqOoERk.htm
上海,浦东新,上海曙光医院东院,https://www.haodf.com/hospital/DE4roiYGYZwX-OrEpjdCy8jrf.htm
上海,浦东新,上海市浦东新区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGNxI0T0L7F0hFZqqOoERk.htm
上海,浦东新,上海市浦东新区光明中医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwmJOqazwNh4tMuLDQvLT1.htm
上海,长宁,长宁区天山中医医院,https://www.haodf.com/hospital/DE4rO-XCoLUmKpaXx47TZMZ31t.htm
上海,长宁,上海市光华中西医结合医院,https://www.haodf.com/hospital/DE4rO-XCoLU0j2q3Urabz6vEQg.htm
上海,黄浦,上海市曙光医院西院,https://www.haodf.com/hospital/DE4roiYGYZwX-o3XIhpq-4h0m.htm
上海,黄浦,香山中医医院,https://www.haodf.com/hospital/DE4rO-XCoLUmJ5cPTaJfDy6Cbc.htm
上海,黄浦,上海中医文献馆门诊部,https://www.haodf.com/hospital/DE4rO-XCoLU0GIQZljbt3pIpm0.htm
上海,黄浦,黄埔区中西医结合医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuhN-q2YCVeQG0pMy6P-9em.htm
上海,徐汇,上海龙华医院,https://www.haodf.com/hospital/DE4roiYGYZwX-U7o5nM-zfnJT.htm
上海,徐汇,上海针灸经络研究所,https://www.haodf.com/hospital/DE4rO-XCoLUXianWgURjIHBzPQ.htm
上海,静安,上海市静安区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luwmip20-VfLyrGNzFx56fU.htm
上海,杨浦,杨浦区中医院,https://www.haodf.com/hospital/DE4rO-XCoLU0hoWj7Vg1MFyDkh.htm
上海,闵行,闵行区中医医院,https://www.haodf.com/hospital/DE4rO-XCoLUm-r251t4xLBGs4w.htm
上海,虹口,上海岳阳医院,https://www.haodf.com/hospital/DE4roiYGYZwIiU9quPKsNiPfO.htm
上海,嘉定,嘉定中医院,https://www.haodf.com/hospital/DE4rO-XCoLU0ha0HcTieBvzKOb.htm
上海,闸北,上海中医院,https://www.haodf.com/hospital/DE4roiYGYZwIiqtsGQuzElQch.htm
上海,松江,上海市松江区方塔中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGRZLTRgUHvmiZLC3b3s8R.htm
上海,奉贤,奉贤区中医院,https://www.haodf.com/hospital/DE4rO-XCoLUXJbb1ObWl99uMTa.htm
上海,青浦,上海市青浦区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luwmj5ccukbsTQH5Fy7BKbP.htm
广东,广州,广东省中医院,https://www.haodf.com/hospital/DE4roiYGYZwXCabML76GGU71e.htm
广东,广州,广州中医药大学第一附属医院,https://www.haodf.com/hospital/DE4roiYGYZwXCoqNN8Z2K18e0.htm
广东,广州,广州市中医院,https://www.haodf.com/hospital/DE4roiYGYZwXCmOyZJ9SvRJb8.htm
广东,广州,广东省第二中医院,https://www.haodf.com/hospital/DE4rO-XCoLU0hXMG0lPR5qqdfm.htm
广东,广州,广州市中西医结合医院,https://www.haodf.com/hospital/DE4rO-XCoLUm-1pqaOQhHsdycT.htm
广东,广州,番禺中医院,https://www.haodf.com/hospital/DE4rO-XCoLUm-r394wkiNDMHtx.htm
广东,广州,天河区中医院,https://www.haodf.com/hospital/DE4rO-XCoLU0h0HfJefaGY-Fi8.htm
广东,广州,从化中医院,https://www.haodf.com/hospital/DE4rO-XCoLUXCpEYw1mnSzFYx4.htm
广东,广州,广州市越秀区中医医院,https://www.haodf.com/hospital/DE4rO-XCoLUm-1rccTieBvzKOb.htm
广东,广州,荔湾区中医院,https://www.haodf.com/hospital/DE4rO-XCoLU0GO0Q4wkiNDMHtx.htm
广东,广州,黄埔中医院,https://www.haodf.com/hospital/DE4rO-XCoLUXy31ccTieBvzKOb.htm
广东,广州,广州市海珠区中医院,https://www.haodf.com/hospital/DE4rO-XCoLUmKI0ztx00uSYNw1.htm
广东,广州,南沙区中医医院,https://www.haodf.com/hospital/DE4rO-XCoLUmiUUpWkcw-2p57V.htm
广东,广州,萝岗区中医医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGWCpXiceSllf3o2p0zvkj.htm
广东,广州,广州市中西结合医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZRK0HcBQpp51SHSYhq37w.htm
